Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 12 [25600/49000 (52%)]	Train Loss: 7.869683	Val Loss: 8.963899	Val Acc: 13
Train Epoch: 12 [28160/49000 (57%)]	Train Loss: 8.608553	Val Loss: 8.878945	Val Acc: 13
Train Epoch: 12 [30720/49000 (62%)]	Train Loss: 8.268595	Val Loss: 8.743363	Val Acc: 14
Train Epoch: 12 [33280/49000 (68%)]	Train Loss: 7.263061	Val Loss: 8.590856	Val Acc: 11
Train Epoch: 12 [35840/49000 (73%)]	Train Loss: 8.540558	Val Loss: 8.355908	Val Acc: 13
Train Epoch: 12 [38400/49000 (78%)]	Train Loss: 7.594733	Val Loss: 9.201705	Val Acc: 11
Train Epoch: 12 [40960/49000 (83%)]	Train Loss: 7.320421	Val Loss: 9.018749	Val Acc: 13
Train Epoch: 12 [43520/49000 (89%)]	Train Loss: 8.024454	Val Loss: 8.715445	Val Acc: 12
Train Epoch: 12 [46080/49000 (94%)]	Train Loss: 7.801664	Val Loss: 8.199805	Val Acc: 13
Train Epoch: 12 [48640/49000 (99%)]	Train Loss: 6.860329	Val Loss: 8.619228	Val Acc: 13
Train Epoch: 13 [0/49000 (0%)]	Train Loss: 36.202271	Val Loss: 8.681410	Val Acc: 13
Train Epoch: 13 [2560/49000 (5%)]	Train Loss: 8.470422	Val Loss: 8.528632	Val Acc: 13
Train Epoch: 13 [5120/49000 (10%)]	Train Loss: 8.278637	Val Loss: 8.812788	Val Acc: 13
Train Epoch: 13 [7680/49000 (16%)]	Train Loss: 7.479437	Val Loss: 8.380723	Val Acc: 15
Train Epoch: 13 [10240/49000 (21%)]	Train Loss: 7.188803	Val Loss: 8.452272	Val Acc: 12
Train Epoch: 13 [12800/49000 (26%)]	Train Loss: 7.666570	Val Loss: 8.064854	Val Acc: 14
